id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_Collado_sirius_iimn_10	C25H41N9O13S	[M + K]+	C25H41N9O13S	Amino acids and Peptides	0.8545143008232117	Small peptides	0.3866029679775238	Tripeptides	0.6017148494720459	Oligopeptides	0.5486685633659363	Peptides	0.9674203395843506	Amino acids, peptides, and analogues	0.9941799640655518	Carboxylic acids and derivatives	0.9910747408866882	Organic acids and derivatives	0.9998657703399658	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alpha amino acid amides; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	10
2_Collado_sirius_iimn_23	C10H17N3O4	[M + H]+	C10H17N3O4	Amino acids and Peptides	0.9990513920783997	Small peptides	0.9987465143203735	Dipeptides	0.9998500347137451	Dipeptides	0.9999980926513672	Peptides	0.9999630451202393	Amino acids, peptides, and analogues	0.9999953508377075	Carboxylic acids and derivatives	1.0	Organic acids and derivatives	1.0	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	23
3_Collado_sirius_iimn_33	C6H6O3	[M - H2O + H]+	C6H4O2	Polyketides	0.8548154830932617	Cyclic polyketides	0.5528483986854553	Furans	0.14651083946228027	Benzenediols	0.583916187286377			Benzenediols	0.583916187286377	Phenols	0.9883527159690857	Benzenoids	0.9471768140792847	Organic compounds; Alcohols and polyols; Phenols; Organooxygen compounds; Benzenediols; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	33
5_Collado_sirius_iimn_41	C16H28N4O16	[M + H]+	C16H28N4O16	Carbohydrates	0.9367111325263977	Aminosugars and aminoglycosides	0.5756262540817261	Aminosugars	0.29329606890678406	Disaccharides	0.795433521270752	Disaccharides	0.795433521270752	Carbohydrates and carbohydrate conjugates	0.9999784231185913	Organooxygen compounds	0.9999994039535522	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Glycosylamines; O-glycosyl compounds; Polyols; Amines; Primary amines; Organic 1,3-dipolar compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	41
6_Collado_sirius_iimn_44	C5H9NO4	[M + H]+	C5H9NO4	Amino acids and Peptides	0.9507182240486145	Small peptides	0.9954158067703247	Aminoacids	0.9604398012161255	Alpha amino acids	0.9136927127838135	Amino acids and derivatives	0.9992639422416687	Amino acids, peptides, and analogues	0.9992367029190063	Carboxylic acids and derivatives	0.9999845027923584	Organic acids and derivatives	0.9999911785125732	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	44
7_Collado_sirius_iimn_47	C10H20O7	[M + H]+	C10H20O7	Fatty acids	0.4645003080368042	Fatty acyl glycosides	0.2674155533313751	Fatty acyl glycosides of mono- and disaccharides	0.35735952854156494	Fatty acyl glycosides	0.5013705492019653			Fatty acyl glycosides	0.5013705492019653	Fatty Acyls	0.529834508895874	Lipids and lipid-like molecules	0.6100565195083618	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	47
8_Collado_sirius_iimn_51	C12H27NO7	[M + H]+	C12H27NO7	Fatty acids	0.829352617263794	Aminosugars and aminoglycosides	0.17645880579948425	Aminosugars	0.056553374975919724	Fatty acyl glycosides of mono- and disaccharides	0.7679775953292847	Fatty acyl glycosides of mono- and disaccharides	0.7679775953292847	Fatty acyl glycosides	0.6098722219467163	Fatty Acyls	0.09554456174373627	Lipids and lipid-like molecules	0.33967313170433044	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Amines; Primary amines; Fatty acyl glycosides of mono- and disaccharides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	51
10_Collado_sirius_iimn_58	C15H23N2O3PS	[M + K]+	C15H23N2O3PS	Alkaloids	0.9325475096702576	Tyrosine alkaloids	0.3518522381782532	Dipeptides	0.32252126932144165	Benzene and substituted derivatives	0.8361300826072693					Benzene and substituted derivatives	0.8361300826072693	Benzenoids	0.996630847454071	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	58
11_Collado_sirius_iimn_61	C21H33NO14	[M + H]+	C21H33NO14	Amino acids and Peptides	0.8943814039230347	Small peptides	0.25603100657463074	Phenylethanoids	0.03803150728344917	Tyrosine and derivatives	0.7521379590034485	Amino acids and derivatives	0.9865190386772156	Amino acids, peptides, and analogues	0.9869287014007568	Carboxylic acids and derivatives	0.8661026954650879	Organic acids and derivatives	0.8387075662612915	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenols; Phenethylamines; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Disaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Alpha amino acids; Benzenoids; Amines; Primary amines; Alkanolamines; Phenylpropanoic acids; Fatty acyl glycosides of mono- and disaccharides; Aralkylamines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Tyrosine and derivatives; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	61
12_Collado_sirius_iimn_63	C8H9NO	[M + H]+	C8H9NO	Alkaloids	0.41650453209877014	Small peptides	0.6308512091636658	Aminoacids	0.5056453943252563	Aniline and substituted anilines	0.5277440547943115			Aniline and substituted anilines	0.5277440547943115	Benzene and substituted derivatives	0.9018564820289612	Benzenoids	0.9903500080108643	Organic compounds; Phenols; Organonitrogen compounds; Aniline and substituted anilines; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	63
