row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,431_02.mzML Peak area,432_02.mzML Peak area,004_02.mzML Peak area,104_02.mzML Peak area,037_02.mzML Peak area,22_02.mzML Peak area,453_02.mzML Peak area,07_02.mzML Peak area,102_02.mzML Peak area,105_02.mzML Peak area,444_02.mzML Peak area,055_02.mzML Peak area,039_02.mzML Peak area,401_02.mzML Peak area,02_02.mzML Peak area,16_02.mzML Peak area,033_02.mzML Peak area,442_02.mzML Peak area,020_02.mzML Peak area,019_02.mzML Peak area,492_02.mzML Peak area,517_02.mzML Peak area,523_02.mzML Peak area,454_02.mzML Peak area,521_02.mzML Peak area,522_02.mzML Peak area,516_02.mzML Peak area,518_02.mzML Peak area,814_02.mzML Peak area,514_02.mzML Peak area,813_02.mzML Peak area,509_02.mzML Peak area,476_02.mzML Peak area,508_02.mzML Peak area,817_02.mzML Peak area,515_02.mzML Peak area,531_02.mzML Peak area,475_02.mzML Peak area,818_02.mzML Peak area,553_02.mzML Peak area,821_02.mzML Peak area,DB1CP_02.mzML Peak area,DB8_02.mzML Peak area,DBV7_467_02.mzML Peak area,021_03.mzML Peak area,DBV3_542_02.mzML Peak area,822_02.mzML Peak area,BCN28WM_02.mzML Peak area,003_03.mzML Peak area,BCN22WM_02.mzML Peak area,825_02.mzML Peak area,01_03.mzML Peak area,023_03.mzML Peak area,013_03.mzML Peak area,510_02.mzML Peak area,028_03.mzML Peak area,011_03.mzML Peak area,015_03.mzML Peak area,041_03.mzML Peak area,309_03.mzML Peak area,029_03.mzML Peak area,031_03.mzML Peak area,035_03.mzML Peak area,017_03.mzML Peak area,06_03.mzML Peak area,14_03.mzML Peak area,044_03.mzML Peak area,046_03.mzML Peak area,425_03.mzML Peak area,435_03.mzML Peak area,434_03.mzML Peak area,038_03.mzML Peak area,451_03.mzML Peak area,441_03.mzML Peak area,05_03.mzML Peak area,08_03.mzML Peak area,032_03.mzML Peak area,30_03.mzML Peak area,469_03.mzML Peak area,471_03.mzML Peak area,427_03.mzML Peak area,558_03.mzML Peak area,555_03.mzML Peak area,505_03.mzML Peak area,528_03.mzML Peak area,47_03.mzML Peak area,501_03.mzML Peak area,45_03.mzML Peak area,447_03.mzML Peak area,530_03.mzML Peak area,823_03.mzML Peak area,36_03.mzML Peak area,533_03.mzML Peak area,52_03.mzML Peak area,549_03.mzML Peak area,501_03_20221012120828.mzML Peak area,524_03.mzML Peak area,62_03.mzML Peak area,544_03.mzML Peak area,DB1_03.mzML Peak area,DB5_03.mzML Peak area,DB2CP_03.mzML Peak area,DBV4_546_03.mzML Peak area,812_03.mzML Peak area,DB7_03.mzML Peak area,DBCP3_545_03.mzML Peak area,811_03.mzML Peak area,DBCP5_559_03.mzML Peak area,DB3_03.mzML Peak area,R26.mzML Peak area,DB6_03.mzML Peak area,R28.mzML Peak area,511_03.mzML Peak area,R27.mzML Peak area,R3.mzML Peak area,R1.mzML Peak area,R10.mzML Peak area,525_04.mzML Peak area,R29.mzML Peak area,R9.mzML Peak area,R2.mzML Peak area,WM03_02.mzML Peak area,R30.mzML Peak area,R31.mzML Peak area,R33.mzML Peak area,WM02_02.mzML Peak area,WM06_02.mzML Peak area,R32.mzML Peak area,WM17_03.mzML Peak area,R35.mzML Peak area,WM19_03.mzML Peak area,R4.mzML Peak area,R34.mzML Peak area,R6.mzML Peak area,R7.mzML Peak area,R5.mzML Peak area,R8.mzML Peak area,WM20_04.mzML Peak area,WM21_04.mzML Peak area,439_04.mzML Peak area,557_04.mzML Peak area
65,270.1550965,0.32223353,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425840.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,298.1864488,0.32223353,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735668.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,527.2315758,0.32223353,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488439.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,123.0553584,0.32302877,,,,,,,,,,,30846.34,0,0,0,0,0,0,0,0,0,0,0,0,14874.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32028.455,0,31439.494,0,0,0,0,0,0,0,0,0,0,0,0,0,23432.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71723.74,0,0,0,0,0,0,0,0,0,0,0,0,29280.406,0,0,0,0,38106.688,75681.54,0,0,0,0,0,0,0,0,0,0,19950.014,19953.404,17280.566,0,0,0,0,0,0,0,0,0,17482.127,122519.33,70472.42,0,0,0,0,0,0,0,0,0,19481.514,0,51231.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,136.0757765,0.32516,,,,193,,,,,,,0,0,0,0,0,0,0,0,0,0,4965.916,0,0,0,0,0,0,0,0,19124.98,0,0,0,0,14595.896,0,0,0,0,4066.4248,0,0,0,0,0,7855.235,0,56983.938,0,63504.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9609.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87364.61,0,4537.0493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4455.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51660.45,0,0,0,0,0,0,0,3650.151,0,0,0,0,0,0,0,0,11482.737,0,0,4891.377,0,0,0,0,0,0,0,0
61,524.1976986,0.32738984,,,,193,,,,,,,13933.049,9220.008,10551.879,30931.342,23427.656,19831.004,22017.3,21112.758,0,10946.444,21022.488,5422.104,6980.3086,12673.406,18148.094,28802.742,8529.554,6508.5674,23816.896,11473.037,0,10905.066,0,0,90989.016,25969.213,27406.947,18058.201,41676.79,28115.791,59756.4,24396.355,15605.475,49056.633,41383.594,20574.86,8844.033,299440.22,11452.478,161739.03,0,4820.9805,0,20556.69,42498.508,25755.574,28081.137,48479.637,18189.684,18786.45,43479.297,6956.9004,8907.494,11468.287,72640.14,14695.3125,26333.105,1084.2501,30498.465,11421.487,15426.006,22784.812,22288.896,0,10268.562,3810.2314,6695.9336,8036.491,25150.535,7385.428,16784.283,263715.12,10903.039,56894.605,6721.9023,17702.89,0,14249.313,15268.622,27009.791,0,11415.982,16335.701,8020.674,20432.053,6240.453,0,25073.035,2700.2324,11456.158,10655.43,47889.83,37387,4397.7344,1265.2388,13702.285,20453.836,16335.107,36505.395,9479.529,4748.5635,19983.896,15871.369,0,9670.417,9012.982,24237.229,7674.361,7443.797,38608.33,3295.5786,37854.06,219674.78,75358.4,16768.727,17640.658,30281.42,26976.902,34942.18,32119.98,38313.156,12296.156,21114.398,1955.3251,3471.829,50612.023,37517.465,44833.465,13091.376,79650.375,12824.3545,13438.229,87816.9,0,15793.307,7283.6816,17890.127,25010.098,6862.1357,11257.42,22925.95
135,213.1235014,0.32964182,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,13528.638,0,0,0,0,0,0,0,4527.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4461.473,0,66547.12,0,0,0,0,0,0,0,5942.9243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101412.266,0,0,0,0,306803.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6786.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,284.0995444,0.32969165,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,19237.69,0,0,0,0,0,0,0,29020.254,0,0,0,0,0,0,3512.8901,0,0,0,0,0,0,0,0,0,0,0,0,0,9663.159,0,0,0,0,2828.8223,4088.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174.7856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7318.19,0,4065.5122,0,0,0,0,0,0,0,0,0,0,10045.555,0,0,0,0,0,0,0,0,0,0,0
47,253.1292152,0.3297581,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7743.1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,137.0458062,0.330186,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,25958.58,0,0,0,0,0,0,0,35314.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14238.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264.7961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
