row.ID,annotation.network.number
65,NA
51,NA
53,NA
678,NA
63,NA
61,NA
135,NA
136,NA
47,NA
104,NA
85,NA
342,NA
71,NA
560,10
39,1
123,NA
163,NA
125,NA
126,NA
140,11
150,NA
10,NA
44,NA
200,NA
169,NA
167,NA
229,NA
88,NA
376,NA
23,NA
179,NA
101,NA
752,NA
105,1
196,NA
192,NA
201,NA
202,NA
310,NA
172,NA
41,NA
109,NA
58,7
599,NA
369,NA
886,NA
418,NA
175,NA
82,7
151,NA
381,NA
244,NA
439,NA
81,NA
792,7
420,NA
148,7
414,NA
644,NA
437,NA
258,NA
759,NA
307,NA
513,NA
386,NA
154,7
138,7
66,NA
544,NA
464,NA
33,NA
472,NA
286,9
416,8
118,7
543,NA
602,NA
250,NA
255,NA
434,NA
456,NA
480,7
98,NA
476,NA
875,NA
322,NA
293,NA
133,NA
722,NA
770,NA
575,NA
324,NA
97,8
96,NA
760,NA
899,NA
314,NA
155,7
724,NA
102,NA
320,NA
504,NA
588,NA
371,NA
225,9
243,7
557,NA
393,NA
926,NA
502,NA
492,NA
622,NA
454,NA
983,11
463,NA
615,NA
384,NA
893,NA
433,NA
593,NA
501,NA
511,NA
505,NA
810,NA
536,NA
981,NA
614,NA
569,NA
573,NA
708,NA
80,NA
616,10
649,NA
635,NA
793,NA
639,NA
1007,NA
753,NA
1120,11
650,NA
822,NA
646,NA
828,NA
1002,NA
705,NA
674,NA
694,NA
727,NA
687,NA
716,NA
720,NA
745,NA
693,NA
905,NA
1124,NA
718,NA
1082,NA
1080,NA
765,NA
951,NA
691,NA
801,NA
795,NA
986,NA
790,NA
775,NA
769,NA
794,NA
944,NA
761,NA
1005,NA
825,NA
815,NA
812,NA
717,NA
1062,NA
1099,NA
751,NA
818,NA
826,12
842,NA
840,NA
823,NA
844,12
835,NA
848,12
1223,NA
863,NA
1205,NA
1038,NA
1248,NA
1263,NA
696,NA
1169,NA
1294,NA
881,NA
1269,NA
845,NA
697,NA
928,NA
933,NA
1317,NA
915,13
1119,NA
910,13
1308,NA
923,13
1032,NA
1232,NA
917,NA
918,NA
1434,NA
939,NA
965,NA
1404,NA
997,NA
1001,NA
904,NA
1019,NA
1552,16
1114,NA
1105,NA
1422,NA
1050,NA
1051,NA
1059,NA
1527,14
1200,NA
1071,NA
1076,NA
1056,NA
1536,NA
1096,NA
1306,14
1442,NA
1031,NA
787,NA
1138,NA
1045,NA
1072,NA
996,NA
1276,15
1584,NA
1286,NA
1284,15
1679,15
771,NA
1295,NA
1568,NA
1349,NA
1389,NA
1356,NA
1358,NA
1588,NA
1379,NA
1382,NA
1384,NA
1497,NA
1457,NA
1449,NA
1433,NA
1523,NA
1540,NA
1519,NA
1541,NA
1589,NA
1581,NA
1606,NA
1580,NA
1610,NA
1397,NA
1621,NA
1129,NA
1631,NA
1694,NA
1632,NA
1592,NA
1337,16
1688,NA
1668,18
1676,18
1510,NA
1712,NA
1717,NA
1939,NA
1700,NA
1818,NA
1710,NA
1749,NA
1748,NA
1731,NA
1738,19
1732,NA
1862,NA
1735,NA
1762,22
1760,22
1746,22
1562,NA
1766,NA
1811,NA
1782,NA
1759,NA
1780,NA
1785,NA
1860,23
1758,19
1696,NA
1891,NA
1976,NA
1836,NA
1853,NA
1840,NA
1870,NA
1863,NA
1865,NA
1775,NA
2167,NA
1894,NA
1879,NA
1942,NA
1925,25
2135,NA
1949,25
1955,NA
1971,NA
1945,NA
1967,NA
1970,NA
1992,NA
1858,NA
2066,NA
2019,NA
2022,NA
2033,NA
2056,NA
2062,NA
2078,NA
2064,NA
2069,NA
2139,NA
2077,NA
2088,NA
2091,NA
2107,NA
2163,NA
2312,NA
2155,NA
2144,NA
2159,NA
2230,NA
2119,NA
2188,NA
2625,NA
2201,NA
2499,NA
2225,NA
2254,NA
2203,NA
2244,NA
2243,NA
2205,NA
2241,NA
2252,NA
2665,NA
2287,NA
2245,NA
2504,27
2226,27
2231,27
2273,NA
2648,33
2223,29
2283,29
2298,NA
2280,29
2279,29
2290,NA
2489,NA
2297,NA
2276,NA
2544,NA
2322,NA
2360,NA
2337,NA
2397,NA
2346,NA
2473,NA
2359,NA
2403,NA
2138,NA
3073,NA
2422,NA
2374,NA
2391,NA
2416,31
3183,31
2301,NA
3226,31
2430,NA
2412,NA
2478,NA
2474,NA
2492,NA
2495,NA
2529,40
2512,40
2500,NA
2496,NA
3287,NA
2453,34
2570,NA
2516,NA
2520,NA
2521,NA
2530,NA
2559,NA
2548,NA
2550,NA
2551,NA
2556,NA
2469,34
2587,NA
2506,NA
2994,84
2650,NA
2683,NA
2917,115
2675,NA
2685,45
2471,NA
2754,NA
2694,41
2603,NA
2699,41
2708,45
2901,84
3119,NA
2935,84
2978,110
2789,84
2799,NA
2564,43
3041,NA
2774,81
3002,69
2830,NA
2729,54
2996,112
3295,NA
2936,109
2977,95
3376,65
2880,84
2980,69
2844,48
2739,NA
2953,73
2991,26
2757,82
2862,95
3121,NA
2947,54
2872,93
2971,109
2946,107
3001,103
2889,112
2777,95
2989,69
2924,68
3006,109
3026,109
3080,103
2893,84
2921,76
2896,NA
2888,48
2827,NA
2964,82
2828,51
2973,112
2852,NA
2845,45
3027,98
2861,109
3053,109
2945,117
2974,109
2848,51
2961,93
2883,78
3028,NA
2802,93
2959,NA
